ID,Airline,Date,FlightNum
263,Airlines PNG,2011-10-13,1600
264,Iran Air,2011-10-18,742
265,LOT Polish Airlines,2011-11-01,16
266,UTair,2012-04-02,120
267,Bhoja Air,2012-04-20,213
268,Agni Air,2012-05-14,
269,Allied Air,2012-06-02,111
270,Dana Air,2012-06-03,992
271,Tianjin Airlines,2012-06-29,7554
272,Petropavlovsk-Kamchatsky Air,2012-09-12,251
273,Sita Air,2012-09-28,601
274,FlyMontserrat,2012-10-07,107
275,Air Bagan,2012-12-25,11
276,Red Wings Airlines,2012-12-29,9268
277,SCAT Airlines,2013-01-29,760
278,South Airlines,2013-02-13,8971
279,ACE Air Cargo,2013-03-08,51
280,Lion Air,2013-04-13,904
281,National Airlines,2013-04-29,102
282,Nepal Airlines,2013-05-16,555
283,Merpati Nusantara Airlines,2013-06-10,6517
284,Asiana Airlines,2013-07-06,214
285,UPS Airlines,2013-08-14,1354
286,Associated Aviation,2013-10-03,361
287,Lao Airlines,2013-10-16,301
288,Tatarstan Airlines,2013-11-17,363
289,LAM Mozambique Airlines,2013-11-29,470
290,Nepal Airlines,2014-02-16,183
291,Ethiopian Airlines,2014-02-17,702
292,Malaysia Airlines,2014-03-08,370
293,Malaysia Airlines,2014-07-17,17
294,TransAsia Airways,2014-07-23,222
295,Air Algérie,2014-07-24,5017
296,Sepahan Airlines,2014-08-10,5915
297,Skyway Enterprises,2014-10-29,7101
298,Indonesia AirAsia,2014-12-28,8501
299,TransAsia Airways,2015-02-04,235
300,Delta Air Lines,2015-03-05,1086
301,Germanwings,2015-03-24,9525
302,Air Canada,2015-03-29,624
303,Carson Air,2015-04-13,66
304,Asiana Airlines,2015-04-14,162
305,Turkish Airlines,2015-04-25,1878
306,Trigana Air Service,2015-08-16,267
307,Ceiba Intercontinental Airlines,2015-09-05,71
308,British Airways,2015-09-08,2276
309,Aviastar,2015-10-02,7503
310,Dynamic Airways,2015-10-29,405
311,Metrojet,2015-10-31,9268
312,West Air Sweden,2016-01-08,294
313,Daallo Airlines,2016-02-02,159
314,Tara Air,2016-02-24,193
315,Flydubai,2016-03-19,981
316,EgyptAir,2016-03-29,181
317,Batik Air,2016-04-04,7703
318,EgyptAir,2016-05-19,804
319,Korean Air,2016-05-27,2708
320,Singapore Airlines,2016-06-27,368
321,Emirates,2016-08-03,521
322,ASL Airlines Hungary,2016-08-05,7332
323,Southwest Airlines,2016-08-27,3472
324,American Airlines,2016-10-28,383
325,FedEx Express,2016-10-28,910
326,LaMia Airlines,2016-11-28,2933
327,Pakistan International Airlines,2016-12-07,661
328,Aerosucre,2016-12-20,4544
329,Afriqiyah Airways,2016-12-23,209
330,Turkish Airlines,2017-01-16,6491
331,Peruvian Airlines,2017-03-28,112
332,Summit Air,2017-05-27,409
333,Air Canada,2017-07-07,759
334,Air France,2017-09-30,66
335,West Wind Aviation,2017-12-13,280
336,Nature Air,2017-12-31,9916
337,Pegasus Airlines,2018-01-13,8622
338,Saratov Airlines,2018-02-11,703
